Data	Dia	Atividade	Envolvidos (CC)	Executor (UFFS)
16 a 20	-	Prazo final para protocolo de solicitação de validação de atividades como ACCs, validação de CCRs e entrega de documentação para prováveis formandos 2019.2, na Secretaria Acadêmica.	Alunos	
22/11 a 13/12	-	Período para análise e entrega dos requerimentos transferências e retornos analisados às Secretarias.	Coordenação	Coord. de Curso
9	Seg	Reunião NDE - Sala 101 - Bloco dos Professores	NDE	
10	Ter	10a Sessão - Conselho de Campus (Aud. Biblioteca)	Coordenação	
11	Qua	Reunião colegiado - Sala 101 - Bloco dos Professores	Colegiado	
12	Qui	Reunião forum de gestão (14h, Aud. Bloco dos Professores)	Coordenação	
18	Qua	Data limite para envio de requerimentos de cancelamento de CCRs manuais ao DCA para execução.	Coordenação	Segecs/Coord. de Curso
18	Qua	TÉRMINO DO SEMESTRE LETIVO DA GRADUAÇÃO.		
19	Qui	Data limite para envio dos processos de jubilação do semestre 2019/2 à DRA.	Coordenação	Segecs/Coord. de Curso
20	Sex	Data limite para encerramento dos Diários de Classe on-line e entrega dos mesmos nas Secretarias Acadêmicas dos campi.	Professores	Docentes
20	Sex	Data limite para análise dos aproveitamento de CCRs dos prováveis formandos e envio à DRA.	Coordenação	Coord. de Curso/Secac
19/12/2019 a 28/02/2020	-	Férias letivas.		
23/12/2019 a 19/02/2020	-	Período de férias docentes.		
Fevereiro (2020)				
20	Qui	1a Sessão - Conselho de Campus (Aud. Biblioteca)	Coordenação	
